,source,target,rel,SOURCE
2,acebutolol,abnormal dreams,Adverse event,SIDER
5,acebutolol,alopecia,Adverse event,SIDER
13,acebutolol,aspartate aminotransferase increased,Adverse event,SIDER
18,acebutolol,atrioventricular block second degree,Adverse event,SIDER
30,acebutolol,catatonia,Adverse event,SIDER
33,acebutolol,colitis ischaemic,Adverse event,SIDER
46,acebutolol,dermatitis psoriasiform,Adverse event,SIDER
53,acebutolol,dry eye,Adverse event,SIDER
54,acebutolol,dry eye,Adverse event,BNF
58,acebutolol,dysuria,Adverse event,SIDER
62,acebutolol,eye pain,Adverse event,SIDER
63,acebutolol,eye pruritus,Adverse event,SIDER
81,acebutolol,ill-defined disorder,Adverse event,SIDER
85,acebutolol,lethargy,Adverse event,SIDER
89,acebutolol,lung infiltration,Adverse event,SIDER
90,acebutolol,lupus-like syndrome,Adverse event,SIDER
91,acebutolol,lupus-like syndrome,Adverse event,BNF
109,acebutolol,pain in extremity,Adverse event,SIDER
113,acebutolol,peripheral coldness,Adverse event,SIDER
114,acebutolol,peripheral coldness,Adverse event,BNF
116,acebutolol,peyronie's disease,Adverse event,SIDER
118,acebutolol,pleuritic pain,Adverse event,SIDER
125,acebutolol,rash erythematous,Adverse event,SIDER
126,acebutolol,respiratory disorder,Adverse event,BNF
131,acebutolol,sinus arrest,Adverse event,SIDER
139,acebutolol,tinnitus,Adverse event,SIDER
143,acebutolol,vertigo,Adverse event,SIDER
145,acebutolol,visual impairment,Adverse event,SIDER
146,acebutolol,visual impairment,Adverse event,BNF
150,acebutolol,wheezing,Adverse event,SIDER
151,acebutolol,xerosis,Adverse event,SIDER
158,aceclofenac,bone marrow disorder,Adverse event,BNF
180,aceclofenac,meningitis aseptic,Adverse event,BNF
187,aceclofenac,oral disorder,Adverse event,BNF
192,aceclofenac,platelet aggregation inhibition,Adverse event,BNF
194,aceclofenac,respiratory disorder,Adverse event,BNF
195,aceclofenac,skin reaction,Adverse event,BNF
199,aceclofenac,taste disorder,Adverse event,BNF
201,aceclofenac,tinnitus,Adverse event,BNF
203,aceclofenac,tubulointerstitial nephritis,Adverse event,BNF
205,aceclofenac,vasodilatation,Adverse event,BNF
206,aceclofenac,vertigo,Adverse event,BNF
207,aceclofenac,visual impairment,Adverse event,BNF
210,acenocoumarol,abdominal symptom,Adverse event,SIDER
211,acenocoumarol,alopecia,Adverse event,SIDER
212,acenocoumarol,alopecia,Adverse event,BNF
214,acenocoumarol,blue toe syndrome,Adverse event,BNF
216,acenocoumarol,central nervous system haemorrhage,Adverse event,BNF
227,acenocoumarol,haematuria,Adverse event,SIDER
228,acenocoumarol,haemobilia,Adverse event,SIDER
232,acenocoumarol,haemothorax,Adverse event,BNF
238,acenocoumarol,melaena,Adverse event,SIDER
240,acenocoumarol,metrorrhagia,Adverse event,SIDER
245,acenocoumarol,protein c deficiency,Adverse event,SIDER
247,acenocoumarol,pyrexia,Adverse event,BNF
249,acenocoumarol,skin haemorrhage,Adverse event,BNF
250,acenocoumarol,skin necrosis,Adverse event,SIDER
251,acenocoumarol,skin necrosis,Adverse event,BNF
252,acenocoumarol,skin reaction,Adverse event,BNF
262,acetaminophen,acute generalised exanthematous pustulosis,Adverse event,SIDER
263,acetaminophen,acute hepatic failure,Adverse event,SIDER
264,acetaminophen,administration site reaction,Adverse event,SIDER
268,acetaminophen,alveolitis,Adverse event,SIDER
270,acetaminophen,anaemia postoperative,Adverse event,SIDER
278,acetaminophen,aspartate aminotransferase increased,Adverse event,SIDER
281,acetaminophen,atelectasis,Adverse event,SIDER
284,acetaminophen,balance disorder,Adverse event,SIDER
287,acetaminophen,blood and lymphatic system disorders,Adverse event,SIDER
293,acetaminophen,breath sounds abnormal,Adverse event,SIDER
310,acetaminophen,dermatitis allergic,Adverse event,SIDER
327,acetaminophen,dystonia,Adverse event,SIDER
328,acetaminophen,dysuria,Adverse event,SIDER
329,acetaminophen,energy increased,Adverse event,SIDER
330,acetaminophen,eructation,Adverse event,SIDER
338,acetaminophen,fixed eruption,Adverse event,SIDER
356,acetaminophen,hepatic necrosis,Adverse event,SIDER
358,acetaminophen,hepatitis fulminant,Adverse event,SIDER
359,acetaminophen,hepatobiliary disease,Adverse event,SIDER
363,acetaminophen,hyperreflexia,Adverse event,SIDER
370,acetaminophen,hypophosphataemia,Adverse event,SIDER
374,acetaminophen,ill-defined disorder,Adverse event,SIDER
375,acetaminophen,immune system disorder,Adverse event,SIDER
377,acetaminophen,infusion site pain,Adverse event,SIDER
378,acetaminophen,injection site pain,Adverse event,SIDER
379,acetaminophen,injection site reaction,Adverse event,SIDER
383,acetaminophen,kounis syndrome,Adverse event,SIDER
393,acetaminophen,mental status changes,Adverse event,SIDER
395,acetaminophen,muscle relaxant therapy,Adverse event,SIDER
411,acetaminophen,nightmare,Adverse event,SIDER
419,acetaminophen,pain in extremity,Adverse event,SIDER
423,acetaminophen,pemphigoid,Adverse event,SIDER
424,acetaminophen,periorbital oedema,Adverse event,SIDER
427,acetaminophen,pneumothorax,Adverse event,SIDER
429,acetaminophen,post procedural haemorrhage,Adverse event,SIDER
435,acetaminophen,rash macular,Adverse event,SIDER
436,acetaminophen,rash maculo-papular,Adverse event,SIDER
440,acetaminophen,renal tubular necrosis,Adverse event,SIDER
445,acetaminophen,serotonin syndrome,Adverse event,SIDER
450,acetaminophen,skin reaction,Adverse event,BNF
454,acetaminophen,strangury,Adverse event,SIDER
455,acetaminophen,stridor,Adverse event,SIDER
464,acetaminophen,traumatic liver injury,Adverse event,SIDER
466,acetaminophen,trismus,Adverse event,SIDER
470,acetaminophen,urinary hesitation,Adverse event,SIDER
476,acetaminophen,wheezing,Adverse event,SIDER
486,acetazolamide,appetite disorder,Adverse event,BNF
492,acetazolamide,bone marrow disorder,Adverse event,BNF
518,acetazolamide,glycosuria,Adverse event,SIDER
519,acetazolamide,growth retardation,Adverse event,SIDER
520,acetazolamide,haematuria,Adverse event,SIDER
526,acetazolamide,hepatic necrosis,Adverse event,SIDER
527,acetazolamide,hepatobiliary disease,Adverse event,SIDER
529,acetazolamide,hypoacusis,Adverse event,BNF
534,acetazolamide,hyponatraemia,Adverse event,SIDER
535,acetazolamide,ill-defined disorder,Adverse event,SIDER
536,acetazolamide,injection site pain,Adverse event,SIDER
542,acetazolamide,libido decreased,Adverse event,BNF
545,acetazolamide,melaena,Adverse event,SIDER
549,acetazolamide,myopia,Adverse event,SIDER
550,acetazolamide,myopia,Adverse event,BNF
555,acetazolamide,osteomalacia,Adverse event,SIDER
556,acetazolamide,osteomalacia,Adverse event,BNF
558,acetazolamide,paralysis,Adverse event,BNF
559,acetazolamide,paralysis flaccid,Adverse event,SIDER
566,acetazolamide,pseudomyopia,Adverse event,SIDER
567,acetazolamide,pyrexia,Adverse event,BNF
570,acetazolamide,renal mass,Adverse event,BNF
571,acetazolamide,renal tubular necrosis,Adverse event,BNF
575,acetazolamide,skin reaction,Adverse event,BNF
580,acetazolamide,taste disorder,Adverse event,BNF
581,acetazolamide,thirst,Adverse event,SIDER
582,acetazolamide,thirst,Adverse event,BNF
586,acetazolamide,tinnitus,Adverse event,SIDER
587,acetazolamide,tinnitus,Adverse event,BNF
589,acetazolamide,urinary tract discomfort,Adverse event,BNF
590,acetazolamide,urine abnormality,Adverse event,BNF
600,acitretin,ageusia,Adverse event,SIDER
603,acitretin,alcohol intolerance,Adverse event,SIDER
605,acitretin,alopecia,Adverse event,SIDER
610,acitretin,anorectal disorder,Adverse event,SIDER
617,acitretin,atrophic vulvovaginitis,Adverse event,SIDER
619,acitretin,balanoposthitis,Adverse event,SIDER
620,acitretin,benign intracranial hypertension,Adverse event,SIDER
621,acitretin,bleeding time prolonged,Adverse event,SIDER
623,acitretin,blood creatinine increased,Adverse event,SIDER
629,acitretin,bone hypertrophy,Adverse event,SIDER
635,acitretin,capillary leak syndrome,Adverse event,SIDER
636,acitretin,capillary leak syndrome,Adverse event,BNF
638,acitretin,cataract subcapsular,Adverse event,SIDER
640,acitretin,cerumen impaction,Adverse event,SIDER
641,acitretin,chalazion,Adverse event,SIDER
642,acitretin,cheilitis,Adverse event,SIDER
645,acitretin,cold sweat,Adverse event,SIDER
648,acitretin,congenital eye disorder,Adverse event,SIDER
649,acitretin,conjunctival haemorrhage,Adverse event,SIDER
655,acitretin,cyst,Adverse event,SIDER
662,acitretin,dermatitis psoriasiform,Adverse event,SIDER
668,acitretin,differentiation syndrome,Adverse event,BNF
669,acitretin,diplopia,Adverse event,SIDER
671,acitretin,disturbance in sexual arousal,Adverse event,SIDER
674,acitretin,drug tolerance decreased,Adverse event,SIDER
675,acitretin,dry eye,Adverse event,SIDER
681,acitretin,dysphonia,Adverse event,SIDER
682,acitretin,dysphonia,Adverse event,BNF
683,acitretin,dysuria,Adverse event,SIDER
685,acitretin,ectropion,Adverse event,SIDER
