,DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,EVENT_SOURCE,BNF_SEV_LEVEL,ANSM_SEV_LEVEL,MICROMEDEX_SEV_LEVEL,BNF_EVID_LEVEL,MICROMEDEX_EVID_LEVEL
0,bendroflumethiazide,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
1,chlorthalidone,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
2,desmopressin,clopamide,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
3,escitalopram,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
4,paroxetine,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
5,sertraline,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
6,carbamazepine,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
7,fluvoxamine,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
8,fluoxetine,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
9,citalopram,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
10,hydrochlorothiazide,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
11,indapamide,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Major,,Theoretical
12,carbamazepine,furosemide,hyponatraemia,10021036,BNF+Micromedex,,Precautions for use,Moderate,,Probable
13,carbamazepine,hydrochlorothiazide,hyponatraemia,10021036,BNF+Micromedex,,Precautions for use,Moderate,,Probable
14,bumetanide,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Contraindicated,,Theoretical
15,furosemide,desmopressin,hyponatraemia,10021036,BNF+Micromedex,,Take into consideration,Contraindicated,,Theoretical
16,ondansetron,methadone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,,Precautions for use,Major,,Theoretical
17,escitalopram,methadone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
18,ondansetron,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
19,methadone,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
20,amiodarone,toremifene,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
21,amiodarone,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
22,amiodarone,voriconazole,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
23,amiodarone,clarithromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
24,amiodarone,methotrimeprazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
25,amiodarone,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
26,amiodarone,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
27,amiodarone,pasireotide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
28,escitalopram,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
29,droperidol,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
30,haloperidol,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
31,hydroxyzine,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
32,chlorpromazine,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
33,ondansetron,arsenic trioxide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
34,amiodarone,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
35,arsenic trioxide,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
36,arsenic trioxide,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
37,arsenic trioxide,clarithromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
38,disopyramide,flecainide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
39,disopyramide,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Probable
40,sotalol,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
41,paliperidone,sotalol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
42,paliperidone,chlorpromazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
43,risperidone,chlorpromazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
44,droperidol,ondansetron,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
45,droperidol,arsenic trioxide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
46,droperidol,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
47,droperidol,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
48,droperidol,clarithromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
49,droperidol,chlorpromazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
50,droperidol,citalopram,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
51,haloperidol,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Probable
52,haloperidol,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
53,haloperidol,chlorpromazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
54,chlorpromazine,arsenic trioxide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
55,chlorpromazine,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
56,clomipramine,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
