drug_node_name,Gene Name
rosuvastatin,F13A1
rosuvastatin,ADH5
rosuvastatin,HBA1
rosuvastatin,SLC7A11
rosuvastatin,DRD1
rosuvastatin,SAT1
rosuvastatin,ALB
rosuvastatin,SLC1A5
rosuvastatin,F2
rosuvastatin,TYR
rosuvastatin,FABP4
rosuvastatin,ABCB11
rosuvastatin,PPARA
rosuvastatin,HSD11B1
rosuvastatin,MT1HL1
rosuvastatin,SLCO1B1
rosuvastatin,NR0B1
rosuvastatin,CYP17A1
rosuvastatin,MT1E
rosuvastatin,SLCO2B1
rosuvastatin,CKB
rosuvastatin,NAGLU
rosuvastatin,MT3
rosuvastatin,ABCG2
rosuvastatin,CD52
rosuvastatin,ELANE
rosuvastatin,MT4
rosuvastatin,ABCC2
rosuvastatin,TOP1MT
rosuvastatin,MMAB
rosuvastatin,IGFBP1
rosuvastatin,ABCC4
rosuvastatin,SLC18A2
rosuvastatin,PCYT1A
rosuvastatin,SLCO1A2
rosuvastatin,AKR1C2
rosuvastatin,SLC10A1
rosuvastatin,TPH1
rosuvastatin,CHDH
rosuvastatin,SLC22A8
rosuvastatin,ALDH7A1
rosuvastatin,HMOX1
rosuvastatin,SLCO1B3
rosuvastatin,MAT2A
rosuvastatin,CYP2C9
rosuvastatin,SLC39A1
rosuvastatin,ITGAL
rosuvastatin,AKR1C1
rosuvastatin,HMGCR
minocycline,NOS2
minocycline,AMT
minocycline,SERPINA6
minocycline,SLC12A5
minocycline,MMP9
minocycline,ADCY1
minocycline,SLC22A2
minocycline,CRABP2
minocycline,NDUFA10
minocycline,PROC
minocycline,MT2A
minocycline,SLC22A6
minocycline,CMPK1
minocycline,SLC22A7
minocycline,VEGFA
minocycline,PON1
minocycline,SLC14A2
minocycline,ALOX5
minocycline,MAOA
minocycline,CACNA1E
minocycline,CASP1
minocycline,CYCS
minocycline,IL1B
minocycline,CASP3
minocycline,MAPK1
minocycline,MAPK10
minocycline,MAPK11
minocycline,MAPK12
minocycline,MAPK13
minocycline,MAPK14
minocycline,MAPK15
minocycline,MAPK3
minocycline,MAPK4
minocycline,MAPK6
minocycline,MAPK7
minocycline,MAPK8
minocycline,MAPK9
miconazole,NOS2
miconazole,AMT
miconazole,SERPINA6
miconazole,SLC12A5
miconazole,DRD1
miconazole,SAT1
miconazole,ALB
miconazole,SLC1A5
miconazole,AASS
miconazole,MT-CO1
miconazole,MT1B
miconazole,ABCB1
miconazole,AR
miconazole,CYP11B1
miconazole,SLCO4A1
miconazole,ALDH5A1
miconazole,CYP51A1
miconazole,YARS
miconazole,CYP19A1
miconazole,SLC11A2
miconazole,NOS3
miconazole,TGM1
miconazole,ARG1
