,Drug IDs,NCBI_ID
0,773,128
1,773,5742
2,773,5947
3,773,8884
4,1254,25
5,1254,4842
6,1254,2495
7,1254,9963
8,317,1812
9,544,1812
10,5294,1812
11,8899,1812
12,9073,1812
13,11689,1812
14,317,6303
15,544,6303
16,5294,6303
17,8899,6303
18,9073,6303
19,11689,6303
20,317,213
21,544,213
22,5294,213
23,8899,213
24,9073,213
25,11689,213
26,317,6510
27,544,6510
28,5294,6510
29,8899,6510
30,9073,6510
31,11689,6510
32,544,2324
33,8899,2324
34,544,7166
35,8899,7166
36,544,6906
37,8899,6906
38,544,23541
39,8899,23541
40,1229,81027
41,1248,81027
42,1229,217
43,1248,217
44,1229,3043
45,1248,3043
46,1229,6558
47,1248,6558
48,317,1497
49,5294,1497
50,317,4722
51,5294,4722
52,317,5004
53,5294,5004
54,317,9123
55,5294,9123
56,1229,2147
57,1229,7299
58,1229,2167
59,1229,8647
60,773,210
61,773,5743
62,773,2173
63,773,476
64,445,3284
65,773,3284
66,1229,3284
67,1248,3284
68,5294,3284
69,445,883
70,773,883
71,1229,883
72,1248,883
73,5294,883
74,445,6580
75,773,6580
76,1229,6580
77,1248,6580
78,5294,6580
79,445,4363
80,773,4363
81,1229,4363
82,1248,4363
83,5294,4363
84,11689,1737
85,11689,4144
86,11689,5004
87,11689,3785
88,11689,931
89,11689,374291
90,11689,5005
91,11689,8029
92,544,8399
93,544,7298
94,544,4520
95,544,6546
96,11581,5465
97,11581,3290
98,11581,645745
99,11581,10599
100,317,10157
101,441,10157
102,773,10157
103,1030,10157
104,1229,10157
105,1248,10157
106,1254,10157
107,1259,10157
108,5294,10157
109,8865,10157
110,8899,10157
111,8916,10157
112,9073,10157
113,9074,10157
114,11581,10157
115,11689,10157
116,12015,10157
117,317,4512
118,441,4512
119,773,4512
120,1030,4512
121,1229,4512
122,1248,4512
123,1254,4512
124,1259,4512
125,5294,4512
126,8865,4512
127,8899,4512
128,8916,4512
129,9073,4512
130,9074,4512
131,11581,4512
132,11689,4512
133,12015,4512
134,317,4490
135,441,4490
136,773,4490
137,1030,4490
138,1229,4490
139,1248,4490
140,1254,4490
141,1259,4490
142,5294,4490
143,8865,4490
144,8899,4490
145,8916,4490
146,9073,4490
147,9074,4490
148,11581,4490
149,11689,4490
150,12015,4490
151,317,5243
152,441,5243
153,773,5243
154,1030,5243
155,1229,5243
156,1248,5243
157,1254,5243
158,1259,5243
159,5294,5243
160,8865,5243
161,8899,5243
162,8916,5243
163,9073,5243
164,9074,5243
165,11581,5243
166,11689,5243
167,12015,5243
168,544,121278
169,773,121278
170,544,5471
171,773,5471
172,544,4501
173,773,4501
174,544,8714
175,773,8714
176,317,1152
177,526,1152
178,544,1152
179,773,1152
180,958,1152
181,1030,1152
182,1248,1152
183,1254,1152
184,5294,1152
185,8916,1152
186,9073,1152
187,9074,1152
188,11581,1152
189,11689,1152
190,12015,1152
191,317,4669
192,526,4669
193,544,4669
194,773,4669
195,958,4669
196,1030,4669
197,1248,4669
198,1254,4669
199,5294,4669
200,8916,4669
201,9073,4669
202,9074,4669
203,11581,4669
204,11689,4669
205,12015,4669
206,317,4504
207,526,4504
208,544,4504
209,773,4504
210,958,4504
211,1030,4504
212,1248,4504
213,1254,4504
214,5294,4504
215,8916,4504
216,9073,4504
217,9074,4504
218,11581,4504
219,11689,4504
220,12015,4504
221,317,9429
222,526,9429
223,544,9429
224,773,9429
225,958,9429
226,1030,9429
227,1248,9429
228,1254,9429
229,5294,9429
230,8916,9429
231,9073,9429
232,9074,9429
233,11581,9429
234,11689,9429
235,12015,9429
236,526,1043
237,773,1043
238,958,1043
239,1229,1043
240,1248,1043
241,526,1991
242,773,1991
243,958,1991
244,1229,1991
245,1248,1991
246,526,84560
247,773,84560
248,958,84560
249,1229,84560
250,1248,84560
251,526,1244
252,773,1244
253,958,1244
254,1229,1244
255,1248,1244
256,1030,116447
257,544,116447
258,1030,326625
259,544,326625
260,1030,3484
261,544,3484
262,1030,10257
263,544,10257
264,441,1128
265,544,1128
266,441,3485
267,544,3485
268,441,2030
269,544,2030
270,1259,5973
271,1259,5096
272,1259,55937
273,1259,6890
274,544,353
275,544,8644
276,544,10057
277,773,645
278,773,368
279,441,51727
280,544,51727
281,1248,51727
282,441,10864
283,544,10864
284,1248,10864
285,526,2099
286,5294,2099
287,526,6582
288,5294,6582
289,9073,2936
290,9073,6580
291,445,3562
292,526,3562
293,958,3562
294,445,5321
295,526,5321
296,958,5321
297,445,1317
298,526,1317
299,958,1317
300,526,1645
301,526,5406
302,526,6581
303,441,3620
304,773,3620
305,1229,3620
306,1248,3620
307,441,89845
308,773,89845
309,1229,89845
310,1248,89845
311,8899,367
312,8899,1584
313,8899,28231
314,1030,217
315,1030,476
316,1030,55244
317,1229,501
318,1248,501
319,1229,3162
320,1248,3162
321,1229,28234
322,1248,28234
323,958,1621
324,958,5053
325,958,1318
326,526,10939
327,958,10939
328,526,3614
329,958,3614
330,526,540
331,958,540
332,526,6323
333,958,6323
334,526,2944
335,958,2944
336,526,538
337,958,538
338,361,203068
339,526,203068
340,773,203068
341,958,203068
342,361,2950
343,526,2950
344,773,2950
345,958,2950
346,361,123264
347,526,123264
348,773,123264
349,958,123264
350,526,59340
351,773,59340
352,958,59340
353,526,2952
354,773,2952
355,958,2952
356,526,21
357,773,21
358,958,21
359,441,2322
360,441,2744
361,441,64078
362,9073,10280
363,9073,6822
364,9073,54822
365,5294,7422
366,5294,5444
367,5294,8170
368,441,2729
369,441,2194
370,441,9154
371,544,3980
372,441,3980
373,544,1806
374,441,1806
375,544,3177
376,441,3177
377,1030,622
378,1030,7052
379,1030,146802
380,526,55163
381,958,55163
382,526,4353
383,958,4353
384,526,9153
385,958,9153
386,1229,443
387,1248,443
388,1254,443
389,1229,1545
390,1248,1545
391,1254,1545
392,1229,5452
393,1248,5452
394,1254,5452
395,526,3292
396,958,3292
397,526,1728
398,958,1728
399,526,53632
400,958,53632
401,1254,5159
402,1254,7083
403,1254,140803
404,1229,8565
405,1229,1588
406,1229,4891
407,544,6947
408,544,4524
409,544,779
410,544,8659
411,544,1890
412,544,8913
413,1229,596
414,1248,596
415,11581,596
416,1229,8985
417,1248,8985
418,11581,8985
419,1229,8911
420,1248,8911
421,11581,8911
422,958,7299
423,958,7498
424,958,6526
425,317,10991
426,773,10991
427,1229,10991
428,1248,10991
429,1254,10991
430,1259,10991
431,8865,10991
432,8899,10991
433,9074,10991
