source,target
BTK,FGF4
FGFR1,FGF4
KIT,FGF4
FYN,FGF4
SRC,FGF4
FGF19,FGF4
FCGR1A,FGF4
FGFR2,FGF4
FGFR4,FGF4
FGFR3,FGF4
ITK,FGF4
PIK3CD,FGF4
PDGFRA,FGF4
PDGFRB,FGF4
KDR,FGF4
VEGFA,FGF4
B2M,FGF4
LCK,FGF4
ERBB2,FGF4
HSP90AA1,FGF4
PDPK1,FGF4
BCR,FGF4
RAC1,FGF4
MAPK1,FGF4
MAPK3,FGF4
EGFR,FGF4
AKT1,FGF4
POU2F1,FGF4
BTK,FGF19
FGFR1,FGF19
KIT,FGF19
FYN,FGF19
SRC,FGF19
FGF1,FGF19
FGF4,FGF19
FGF2,FGF19
FCGR1A,FGF19
FGFR2,FGF19
FGFR4,FGF19
FGFR3,FGF19
ITK,FGF19
PIK3CD,FGF19
PDGFRA,FGF19
PDGFRB,FGF19
KDR,FGF19
VEGFA,FGF19
B2M,FGF19
LCK,FGF19
ERBB2,FGF19
HSP90AA1,FGF19
PDPK1,FGF19
BCR,FGF19
RAC1,FGF19
MAPK1,FGF19
MAPK3,FGF19
EGFR,FGF19
AKT1,FGF19
ITGB3,FGF2
CASP1,FGF2
PF4,FGF2
BTK,FGF2
FGFR1,FGF2
KIT,FGF2
FYN,FGF2
SRC,FGF2
FGF19,FGF2
FCGR1A,FGF2
FGFR2,FGF2
FGFR4,FGF2
FGFR3,FGF2
ITK,FGF2
PIK3CD,FGF2
PDGFRA,FGF2
PDGFRB,FGF2
KDR,FGF2
VEGFA,FGF2
B2M,FGF2
LCK,FGF2
ERBB2,FGF2
HSP90AA1,FGF2
ITGAV,FGF2
PDPK1,FGF2
TUBG1,FGF2
BCR,FGF2
RAC1,FGF2
MAPK1,FGF2
MAPK3,FGF2
EGFR,FGF2
AKT1,FGF2
HCK,FCGR1A
BTK,FCGR1A
FGFR1,FCGR1A
KIT,FCGR1A
FYN,FCGR1A
SRC,FCGR1A
FGR,FCGR1A
FGF1,FCGR1A
FGF4,FCGR1A
FGF19,FCGR1A
FGF2,FCGR1A
FGFR2,FCGR1A
FGFR4,FCGR1A
FGFR3,FCGR1A
ITK,FCGR1A
PIK3CD,FCGR1A
PDGFRA,FCGR1A
PDGFRB,FCGR1A
KDR,FCGR1A
VEGFA,FCGR1A
B2M,FCGR1A
LCK,FCGR1A
ERBB2,FCGR1A
YES1,FCGR1A
HSP90AA1,FCGR1A
PDPK1,FCGR1A
BCR,FCGR1A
LYN,FCGR1A
RAC1,FCGR1A
EGFR,FCGR1A
AKT1,FCGR1A
PRKCQ,FGFR2
BTK,FGFR2
KIT,FGFR2
FYN,FGFR2
SRC,FGFR2
FGF1,FGFR2
FGF4,FGFR2
FGF19,FGFR2
FGF2,FGFR2
FCGR1A,FGFR2
FGFR3,FGFR2
ITK,FGFR2
PIK3CD,FGFR2
PDGFRA,FGFR2
PDGFRB,FGFR2
KDR,FGFR2
VEGFA,FGFR2
B2M,FGFR2
LCK,FGFR2
ERBB2,FGFR2
PRKCE,FGFR2
PRKCG,FGFR2
PRKCI,FGFR2
PRKCZ,FGFR2
HSP90AA1,FGFR2
PKM,FGFR2
PRKCB,FGFR2
PDPK1,FGFR2
PRKCA,FGFR2
BCR,FGFR2
LYN,FGFR2
STAT5B,FGFR2
RAC1,FGFR2
PRKCD,FGFR2
MAPK1,FGFR2
MAPK3,FGFR2
EGFR,FGFR2
AKT1,FGFR2
PGR,FGFR2
CACNA1D,FGFR2
PRKCQ,FGFR4
BTK,FGFR4
KIT,FGFR4
FYN,FGFR4
SRC,FGFR4
FGF1,FGFR4
FGF4,FGFR4
FGF19,FGFR4
FGF2,FGFR4
FCGR1A,FGFR4
ITK,FGFR4
PIK3CD,FGFR4
PDGFRA,FGFR4
PDGFRB,FGFR4
KDR,FGFR4
VEGFA,FGFR4
B2M,FGFR4
LCK,FGFR4
ERBB2,FGFR4
PRKCE,FGFR4
PRKCG,FGFR4
PRKCI,FGFR4
PRKCZ,FGFR4
HSP90AA1,FGFR4
PKM,FGFR4
PRKCB,FGFR4
PDPK1,FGFR4
PRKCA,FGFR4
BCR,FGFR4
RAC1,FGFR4
PRKCD,FGFR4
MAPK1,FGFR4
MAPK3,FGFR4
EGFR,FGFR4
AKT1,FGFR4
CDK15,FGFR4
ATF3,FGFR3
PRKCQ,FGFR3
BTK,FGFR3
KIT,FGFR3
FYN,FGFR3
SRC,FGFR3
FGF1,FGFR3
FGF4,FGFR3
FGF19,FGFR3
FGF2,FGFR3
FCGR1A,FGFR3
FGFR2,FGFR3
ITK,FGFR3
PIK3CD,FGFR3
PDGFRA,FGFR3
PDGFRB,FGFR3
KDR,FGFR3
VEGFA,FGFR3
B2M,FGFR3
LCK,FGFR3
ERBB2,FGFR3
PRKCE,FGFR3
PRKCG,FGFR3
PRKCI,FGFR3
PRKCZ,FGFR3
KRT8,FGFR3
HSPA8,FGFR3
HSP90AA1,FGFR3
PKM,FGFR3
PRKCB,FGFR3
PDPK1,FGFR3
PRKCA,FGFR3
BCR,FGFR3
STAT5B,FGFR3
RAC1,FGFR3
PRKCD,FGFR3
MAPK1,FGFR3
MAPK3,FGFR3
EGFR,FGFR3
AKT1,FGFR3
HCK,ITK
JAK2,ITK
BTK,ITK
FGFR1,ITK
KIT,ITK
FYN,ITK
SRC,ITK
FGR,ITK
FGF1,ITK
FGF4,ITK
FGF19,ITK
FGF2,ITK
FCGR1A,ITK
FGFR2,ITK
FGFR4,ITK
FGFR3,ITK
PIK3CD,ITK
PDGFRA,ITK
PDGFRB,ITK
KDR,ITK
VEGFA,ITK
B2M,ITK
LCK,ITK
ERBB2,ITK
FCER1A,ITK
FCER1G,ITK
IL2,ITK
JAK3,ITK
ALK,ITK
YES1,ITK
HSP90AA1,ITK
PPIA,ITK
MET,ITK
ESR1,ITK
BCR,ITK
JAK1,ITK
LYN,ITK
EPHA2,ITK
EGFR,ITK
PRKCQ,PIK3CD
BTK,PIK3CD
FGFR1,PIK3CD
FYN,PIK3CD
FGF1,PIK3CD
FGF4,PIK3CD
FGF19,PIK3CD
FGF2,PIK3CD
FCGR1A,PIK3CD
FGFR2,PIK3CD
FGFR4,PIK3CD
FGFR3,PIK3CD
ITK,PIK3CD
PDGFRA,PIK3CD
PDGFRB,PIK3CD
KDR,PIK3CD
VEGFA,PIK3CD
LCK,PIK3CD
TEK,PIK3CD
PRKCE,PIK3CD
PRKCG,PIK3CD
IL3,PIK3CD
PRKCI,PIK3CD
PRKCZ,PIK3CD
PRKCB,PIK3CD
PDPK1,PIK3CD
PRKCA,PIK3CD
BCR,PIK3CD
RAC1,PIK3CD
PRKCD,PIK3CD
AKT1,PIK3CD
ITGB3,PDGFRA
JAK2,PDGFRA
BTK,PDGFRA
FGFR1,PDGFRA
KIT,PDGFRA
FYN,PDGFRA
SRC,PDGFRA
FGF1,PDGFRA
FGF4,PDGFRA
FGF19,PDGFRA
FGF2,PDGFRA
FCGR1A,PDGFRA
FGFR2,PDGFRA
FGFR4,PDGFRA
FGFR3,PDGFRA
ITK,PDGFRA
PIK3CD,PDGFRA
PDGFRB,PDGFRA
VEGFA,PDGFRA
LCK,PDGFRA
JAK3,PDGFRA
PKM,PDGFRA
ITGAV,PDGFRA
PDPK1,PDGFRA
BCR,PDGFRA
JAK1,PDGFRA
STAT5B,PDGFRA
RAC1,PDGFRA
AKT1,PDGFRA
ITGB3,PDGFRB
S1PR1,PDGFRB
SPHK1,PDGFRB
ABL2,PDGFRB
TYK2,PDGFRB
HCK,PDGFRB
JAK2,PDGFRB
BTK,PDGFRB
FGFR1,PDGFRB
FYN,PDGFRB
SRC,PDGFRB
FGR,PDGFRB
FGF1,PDGFRB
FGF4,PDGFRB
FGF19,PDGFRB
FGF2,PDGFRB
FCGR1A,PDGFRB
FGFR2,PDGFRB
FGFR4,PDGFRB
FGFR3,PDGFRB
ITK,PDGFRB
PIK3CD,PDGFRB
PDGFRA,PDGFRB
KDR,PDGFRB
VEGFA,PDGFRB
LCK,PDGFRB
JAK3,PDGFRB
EIF2AK2,PDGFRB
NFKB1,PDGFRB
YES1,PDGFRB
HSP90AA1,PDGFRB
PDPK1,PDGFRB
ADRBK1,PDGFRB
RAF1,PDGFRB
BCR,PDGFRB
JAK1,PDGFRB
MTOR,PDGFRB
LYN,PDGFRB
STAT5B,PDGFRB
RAC1,PDGFRB
EGFR,PDGFRB
AKT1,PDGFRB
ABL1,PDGFRB
PLAUR,PDGFRB
ITGB3,KDR
NOS3,KDR
BTK,KDR
FGFR1,KDR
FYN,KDR
SRC,KDR
FGF1,KDR
FGF4,KDR
FGF19,KDR
FGF2,KDR
FCGR1A,KDR
FGFR2,KDR
FGFR4,KDR
FGFR3,KDR
ITK,KDR
PIK3CD,KDR
PDGFRB,KDR
VEGFA,KDR
LCK,KDR
FLT4,KDR
YES1,KDR
HSP90AA1,KDR
PKM,KDR
ITGAV,KDR
PDPK1,KDR
MET,KDR
BCR,KDR
RAC1,KDR
MAPK14,KDR
AKT1,KDR
MAPK11,KDR
FLT1,KDR
ITGB3,VEGFA
NOS3,VEGFA
BTK,VEGFA
FGFR1,VEGFA
FYN,VEGFA
SRC,VEGFA
FGF1,VEGFA
FGF4,VEGFA
FGF19,VEGFA
FGF2,VEGFA
FCGR1A,VEGFA
FGFR2,VEGFA
FGFR4,VEGFA
FGFR3,VEGFA
ITK,VEGFA
PIK3CD,VEGFA
PDGFRA,VEGFA
PDGFRB,VEGFA
KDR,VEGFA
LCK,VEGFA
HSP90AA1,VEGFA
ITGAV,VEGFA
PDPK1,VEGFA
BCR,VEGFA
RAC1,VEGFA
MAPK14,VEGFA
AKT1,VEGFA
HIF1A,VEGFA
MAPK11,VEGFA
FLT1,VEGFA
FTH1,B2M
PRKCQ,B2M
BTK,B2M
FGFR1,B2M
FYN,B2M
MAPK15,B2M
FGF1,B2M
FGF4,B2M
FGF19,B2M
FGF2,B2M
FCGR1A,B2M
FGFR2,B2M
FGFR4,B2M
FGFR3,B2M
ITK,B2M
LCK,B2M
IL2,B2M
TUBA4A,B2M
HSP90AA1,B2M
ANXA1,B2M
ANXA2,B2M
PDPK1,B2M
CSK,B2M
BCR,B2M
TAP1,B2M
CANX,B2M
CALR,B2M
RAC1,B2M
EGFR,B2M
AKT1,B2M
JUN,B2M
LTF,B2M
HDAC3,B2M
MAPK12,B2M
A2M,B2M
CACNA1H,B2M
CAMLG,LCK
SMPD1,LCK
S1PR1,LCK
RELA,LCK
MS4A1,LCK
NOS3,LCK
SPHK1,LCK
TYK2,LCK
MAPK9,LCK
PRKCQ,LCK
JAK2,LCK
BTK,LCK
FGFR1,LCK
KIT,LCK
FYN,LCK
SRC,LCK
FGF1,LCK
FGF4,LCK
FGF19,LCK
FGF2,LCK
FCGR1A,LCK
FGFR2,LCK
FGFR4,LCK
FGFR3,LCK
ITK,LCK
PIK3CD,LCK
PDGFRA,LCK
PDGFRB,LCK
KDR,LCK
VEGFA,LCK
B2M,LCK
ERBB2,LCK
PRKCE,LCK
PRKCG,LCK
CXCL12,LCK
IL2,LCK
JAK3,LCK
UGCG,LCK
SH2B3,LCK
NFKB1,LCK
PRKCZ,LCK
YES1,LCK
HSPA8,LCK
TUBB,LCK
HSP90AA1,LCK
ANXA1,LCK
ANXA2,LCK
PRDX1,LCK
PRKCB,LCK
PDPK1,LCK
MET,LCK
PRKCA,LCK
TUBA1A,LCK
CSK,LCK
ESR1,LCK
RAF1,LCK
BCR,LCK
FKBP1A,LCK
JAK1,LCK
MTOR,LCK
LYN,LCK
EPHA2,LCK
PLA2G4A,LCK
MAP2K2,LCK
STAT5B,LCK
RAC1,LCK
MAPK14,LCK
MAPK8,LCK
PRKCD,LCK
MAPK1,LCK
MAPK3,LCK
EGFR,LCK
CALM1,LCK
AKT1,LCK
ESR2,LCK
JUN,LCK
ABL1,LCK
MME,LCK
MAP2K1,LCK
MAPK11,LCK
AR,LCK
NR3C1,LCK
FOS,LCK
TRPV6,LCK
GSTT1,ERBB2
CDH11,ERBB2
NOS3,ERBB2
SPHK1,ERBB2
ABL2,ERBB2
EPHB4,ERBB2
PRKCQ,ERBB2
JAK2,ERBB2
BTK,ERBB2
FGFR1,ERBB2
FYN,ERBB2
SRC,ERBB2
FGR,ERBB2
PTK6,ERBB2
FGF1,ERBB2
FGF4,ERBB2
FGF19,ERBB2
FGF2,ERBB2
FCGR1A,ERBB2
FGFR2,ERBB2
FGFR4,ERBB2
FGFR3,ERBB2
ITK,ERBB2
LCK,ERBB2
PRKCE,ERBB2
PRKCG,ERBB2
SH2B3,ERBB2
EIF2AK2,ERBB2
PRKCI,ERBB2
PRKCZ,ERBB2
NDUFA4,ERBB2
YES1,ERBB2
HSP90B1,ERBB2
HSPA8,ERBB2
TUBB,ERBB2
TUBA4A,ERBB2
HSP90AA1,ERBB2
ANXA1,ERBB2
ANXA2,ERBB2
PKM,ERBB2
PRKCB,ERBB2
SLC25A1,ERBB2
DDR1,ERBB2
NQO2,ERBB2
PDPK1,ERBB2
APOB,ERBB2
MET,ERBB2
HDAC6,ERBB2
PRKCA,ERBB2
TUBA1A,ERBB2
CSK,ERBB2
SLC7A5,ERBB2
ATP1A1,ERBB2
ESR1,ERBB2
CHUK,ERBB2
SLC39A7,ERBB2
RAF1,ERBB2
BCR,ERBB2
FKBP1A,ERBB2
